Ns,Np,UA_w_per_k,peak_current_a,peak_temp_k,viol_temp,viol_soc
40,3,8.0,60.0,298.2236431431696,0,1
40,3,8.0,80.0,298.2809361656975,0,1
40,3,8.0,100.0,298.3546179435077,0,1
40,3,12.0,40.0,298.1763094926562,0,0
40,3,12.0,60.0,298.2092005846348,0,1
40,3,12.0,80.0,298.2552560036411,0,1
40,3,12.0,100.0,298.3144836430818,0,1
40,4,4.0,40.0,298.18178378628267,0,0
40,4,4.0,60.0,298.2215185691964,0,0
40,4,4.0,80.0,298.27715669356087,0,1
40,4,4.0,100.0,298.3487075910466,0,1
40,4,6.0,40.0,298.17778000753697,0,0
40,4,6.0,60.0,298.2125091360544,0,0
40,4,6.0,80.0,298.26113760613816,0,1
40,4,6.0,100.0,298.32367311059653,0,1
40,4,8.0,40.0,298.1745453004766,0,0
40,4,8.0,60.0,298.2052303205456,0,0
40,4,8.0,80.0,298.2481956859148,0,1
40,4,8.0,100.0,298.3034477359539,0,1
40,4,12.0,40.0,298.1697318377668,0,0
40,4,12.0,60.0,298.1943990121038,0,0
40,4,12.0,80.0,298.22893749407467,0,1
40,4,12.0,100.0,298.27335172291475,0,1
48,1,4.0,40.0,298.30259492881686,0,1
48,1,4.0,60.0,298.4934550005829,0,1
48,1,4.0,80.0,298.7608765676151,0,1
48,1,4.0,100.0,299.1050774714509,0,1
48,1,6.0,40.0,298.28337075250136,0,1
48,1,6.0,60.0,298.45017914201827,0,1
48,1,6.0,80.0,298.68388825564136,0,1
48,1,6.0,100.0,298.9846757552645,0,1
48,1,8.0,40.0,298.26783945862553,0,1
48,1,8.0,60.0,298.4152170259502,0,1
48,1,8.0,80.0,298.6216917786544,0,1
48,1,8.0,100.0,298.88741010691945,0,1
48,1,12.0,40.0,298.24472823906376,0,1
48,1,12.0,60.0,298.36319332956015,0,1
48,1,12.0,80.0,298.52914679977476,0,1
48,1,12.0,100.0,298.742691141273,0,1
48,2,4.0,40.0,298.2262871202546,0,1
48,2,4.0,60.0,298.32167511420164,0,1
48,2,4.0,80.0,298.45527263464515,0,1
48,2,4.0,100.0,298.62713405731984,0,1
48,2,6.0,40.0,298.2166769390637,0,1
48,2,6.0,60.0,298.300046843026,0,1
48,2,6.0,80.0,298.4168090211102,0,1
48,2,6.0,100.0,298.56700782251505,0,1
48,2,8.0,40.0,298.20891277642914,0,1
48,2,8.0,60.0,298.2825733023807,0,1
48,2,8.0,80.0,298.3857345550103,0,1
48,2,8.0,100.0,298.518433079553,0,1
48,2,12.0,40.0,298.19735925053067,0,1
48,2,12.0,60.0,298.2565720080354,0,1
48,2,12.0,80.0,298.33949543952593,0,1
48,2,12.0,100.0,298.4461551344762,0,1
48,3,4.0,40.0,298.20085578176247,0,0
48,3,4.0,60.0,298.26443843812524,0,1
48,3,4.0,80.0,298.35347829763185,0,1
48,3,4.0,100.0,298.46799951475015,0,1
48,3,6.0,40.0,298.19444941800856,0,0
48,3,6.0,60.0,298.2500217361947,0,1
48,3,6.0,80.0,298.32784267174287,0,1
48,3,6.0,100.0,298.42793192559725,0,1
48,3,8.0,40.0,298.1892736393827,0,0
48,3,8.0,60.0,298.2383743790767,0,1
48,3,8.0,80.0,298.30713164066276,0,1
48,3,8.0,100.0,298.39556165872284,0,1
48,3,12.0,40.0,298.1815717518023,0,0
48,3,12.0,60.0,298.221042527401,0,1
48,3,12.0,80.0,298.2763129759134,0,1
48,3,12.0,100.0,298.34739446549384,0,1
48,4,4.0,40.0,298.188140974459,0,0
48,4,4.0,60.0,298.23582446481066,0,0
48,4,4.0,80.0,298.30259492881686,0,1
48,4,4.0,100.0,298.3884659498448,0,1
48,4,6.0,40.0,298.18333636052563,0,0
48,4,6.0,60.0,298.22501274283104,0,0
48,4,6.0,80.0,298.28337075250136,0,1
48,4,6.0,100.0,298.3584214685614,0,1
48,4,8.0,40.0,298.17945465022325,0,0
48,4,8.0,60.0,298.21627785115714,0,0
48,4,8.0,80.0,298.26783945862553,0,1
48,4,8.0,100.0,298.3341486024065,0,1
48,4,12.0,40.0,298.173678408162,0,0
48,4,12.0,60.0,298.203279841502,0,0
48,4,12.0,80.0,298.24472823906376,0,1
48,4,12.0,100.0,298.29802999404166,0,1
